id,active,type,product_tmpl_id/id,product_qty,product_uom_id/id,sequence,ready_to_produce,picking_type_id/id,company_id/id,consumption,produce_delay,days_to_prepare_mo,version,x_studio_bom_total_material_cost,x_studio_currency_id/id,x_studio_last_updated_date_cost
mrp_bom_id_492,1,normal,Jinasena_MasterData_Stock.product_template_inner_plate_2,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_493,1,normal,Jinasena_MasterData_Stock.product_template_inner_plate_3,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_494,1,normal,Jinasena_MasterData_Stock.product_template_innet_plate_top,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_495,1,normal,Jinasena_MasterData_Stock.product_template_inner_side_plate_rib,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_496,1,normal,Jinasena_MasterData_Stock.product_template_motor_base_reinforcement,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_497,1,normal,Jinasena_MasterData_Stock.product_template_frame_reinforcement_1,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_498,1,normal,Jinasena_MasterData_Stock.product_template_bearing_plate_330299,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_499,1,normal,Jinasena_MasterData_Stock.product_template_motor_bracket_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_500,1,normal,Jinasena_MasterData_Stock.product_template_hook_for_rubber_guard,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_501,1,normal,Jinasena_MasterData_Stock.product_template_belt_guard_bracket_330302,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_502,1,normal,Jinasena_MasterData_Stock.product_template_motor_base_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_503,1,normal,Jinasena_MasterData_Stock.product_template_pin_removing_bush,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_504,1,normal,Jinasena_MasterData_Stock.product_template_side_hopper_mount_bracket,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_505,1,normal,Jinasena_MasterData_Stock.product_template_rein_bush_for_sq_box_frame,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_506,1,normal,Jinasena_MasterData_Stock.product_template_main_sq_tube_structure,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_507,1,normal,Jinasena_MasterData_Stock.product_template_main_sq_tube_frame_end,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_508,1,normal,Jinasena_MasterData_Stock.product_template_rubber_guard_mount_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
